date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:23	876/876	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Feb%202020%2005:31:13%20GMT	https://m.media-amazon.com/images/M/MV5BZTEwNDdhZDYtNDAyZS00YjRjLTg4ZDUtZDQxNDY2MDdmNDdhXkEyXkFqcGdeQXVyMjcyMzQ0NDE@._V1_UY44_CR0,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BZTEwNDdhZDYtNDAyZS00YjRjLTg4ZDUtZDQxNDY2MDdmNDdhXkEyXkFqcGdeQXVyMjcyMzQ0NDE@._V1_UY44_CR0,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/joker/)
13:04:23	958/958	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Jan%202020%2004:03:04%20GMT	https://m.media-amazon.com/images/M/MV5BZDAwOTU1NDAtYTcyZS00MDExLWIyZGEtNzlhZDE4OGEyMjlmXkEyXkFqcGdeQXVyNjI4MTU2MzA@._V1_UX32_CR0,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BZDAwOTU1NDAtYTcyZS00MDExLWIyZGEtNzlhZDE4OGEyMjlmXkEyXkFqcGdeQXVyNjI4MTU2MzA@._V1_UX32_CR0,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/joker/)
13:04:23	1061/1061	---M--	200	added ('OK')	image/jpeg	date:Tue,%2001%20Oct%202019%2017:33:46%20GMT	https://m.media-amazon.com/images/M/MV5BMjY3MjNhZWEtZTIxMi00NmY4LTg4MWMtNjllODg5OGFlOTEzXkEyXkFqcGdeQXVyMzkyNTcxMg@@._V1_UX32_CR0,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMjY3MjNhZWEtZTIxMi00NmY4LTg4MWMtNjllODg5OGFlOTEzXkEyXkFqcGdeQXVyMzkyNTcxMg@@._V1_UX32_CR0,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/joker/)
13:04:23	5506/5506	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Apr%202019%2013:38:21%20GMT	https://m.media-amazon.com/images/M/MV5BMGQ1ZGZmNTAtM2MyYi00NmZhLTkwYmYtNTNlZDRhMzU2ZTgwXkEyXkFqcGdeQW1yb3NzZXI@._V1_SP330,330,0,C,0,0,0_CR65,90,200,150_PIimdb-blackband-204-14,TopLeft,0,0_PIimdb-blackband-204-28,BottomLeft,0,1_CR0,0,200,150_PIimdb-bluebutton-big,BottomRight,-1,-1_ZATrailer,4,123,16,196,verdenab,8,255,255,255,1_ZAon%2520IMDb,4,1,14,196,verdenab,7,255,255,255,1_ZA02%253A25,164,1,14,36,verdenab,7,255,255,255,1_PIimdb-HDIconMiniWhite,BottomLeft,4,-2_ZAJoker,24,138,14,176,arialbd,7,255,255,255,1_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMGQ1ZGZmNTAtM2MyYi00NmZhLTkwYmYtNTNlZDRhMzU2ZTgwXkEyXkFqcGdeQW1yb3NzZXI@._V1_SP330,330,0,C,0,0,0_CR65,90,200,150_PIimdb-blackband-204-14,TopLeft,0,0_PIimdb-blackband-204-28,	(from http://www.mymoviecatalog.com/joker/)
13:04:24	840/840	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Oct%202010%2000:13:07%20GMT	https://m.media-amazon.com/images/M/MV5BMTUwMjkxMTI5Ml5BMl5BanBnXkFtZTcwNTU0NDAwNA@@._V1_UX32_CR0,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMTUwMjkxMTI5Ml5BMl5BanBnXkFtZTcwNTU0NDAwNA@@._V1_UX32_CR0,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/joker/)
13:04:24	1025/1025	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Mar%202016%2023:29:57%20GMT	https://m.media-amazon.com/images/M/MV5BMTQ3NzYxMjc1M15BMl5BanBnXkFtZTgwMzI1NTQ0ODE@._V1_UY44_CR17,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMTQ3NzYxMjc1M15BMl5BanBnXkFtZTgwMzI1NTQ0ODE@._V1_UY44_CR17,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/joker/)
13:04:24	5810/5810	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Feb%202020%2001:10:58%20GMT	https://m.media-amazon.com/images/M/MV5BMjgxMjY3YjAtZDA5ZC00MjMyLWExOGItMjA4NzA4YTgyZGIwXkEyXkFqcGdeQWFsZWxvZw@@._V1_SP330,330,0,C,0,0,0_CR65,90,200,150_PIimdb-blackband-204-14,TopLeft,0,0_PIimdb-blackband-204-28,BottomLeft,0,1_CR0,0,200,150_PIimdb-bluebutton-big,BottomRight,-1,-1_ZAClip,4,123,16,196,verdenab,8,255,255,255,1_ZAon%2520IMDb,4,1,14,196,verdenab,7,255,255,255,1_ZA03%253A36,164,1,14,36,verdenab,7,255,255,255,1_PIimdb-HDIconMiniWhite,BottomLeft,4,-2_ZAJoker,24,138,14,176,arialbd,7,255,255,255,1_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMjgxMjY3YjAtZDA5ZC00MjMyLWExOGItMjA4NzA4YTgyZGIwXkEyXkFqcGdeQWFsZWxvZw@@._V1_SP330,330,0,C,0,0,0_CR65,90,200,150_PIimdb-blackband-204-14,TopLeft,0,0_PIimdb-blackband-204-28,	(from http://www.mymoviecatalog.com/joker/)
13:04:24	9/9	---M-Z	404	error ('Not%20Found')	text/plain	date:Fri,%2030%20Oct%202020%2007:40:04%20GMT	https://m.media-amazon.com/images/M/MV5BYjhiMjI4NDktYTkyYS00MWY2LTg5ZTMtOWY0ODM1NTM5MDdhXkEyXkFqcGdeQXVyNDM0MjEzMjk@._V1_UY44_CR4,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BYjhiMjI4NDktYTkyYS00MWY2LTg5ZTMtOWY0ODM1NTM5MDdhXkEyXkFqcGdeQXVyNDM0MjEzMjk@._V1_UY44_CR4,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/joker/)
13:04:25	1155/1155	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Oct%202014%2013:59:24%20GMT	https://m.media-amazon.com/images/M/MV5BMTQyMzY3MzU3MV5BMl5BanBnXkFtZTgwMDYwOTYxMzE@._V1_UX32_CR0,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMTQyMzY3MzU3MV5BMl5BanBnXkFtZTgwMDYwOTYxMzE@._V1_UX32_CR0,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/joker/)
13:04:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2030%20Oct%202020%2007:40:05%20GMT	http://www.mymoviecatalog.com/?p=524	C:/My%20Web%20Sites/mymoviecatalog/www.mymoviecatalog.com/index7dad.html	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:26	2516/2516	---MC-	200	added ('OK')	application/json	date:Fri,%2030%20Oct%202020%2007:40:05%20GMT	http://www.mymoviecatalog.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.mymoviecatalog.com%2Fsteve-jobs-2015%2F	C:/My%20Web%20Sites/mymoviecatalog/www.mymoviecatalog.com/wp-json/oembed/1.0/embed3a83.json	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:26	2063/2063	---MC-	200	added ('OK')	application/rss+xml	etag:%2240efa8fd2b97dd8b9ba58888332222a7%22	http://www.mymoviecatalog.com/steve-jobs-2015/feed/	C:/My%20Web%20Sites/mymoviecatalog/www.mymoviecatalog.com/steve-jobs-2015/feed/index.html	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:27	2646/2646	---MC-	200	added ('OK')	text/xml	date:Fri,%2030%20Oct%202020%2007:40:06%20GMT	http://www.mymoviecatalog.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.mymoviecatalog.com%2Fsteve-jobs-2015%2F&format=xml	C:/My%20Web%20Sites/mymoviecatalog/www.mymoviecatalog.com/wp-json/oembed/1.0/embeddb79	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
